id,C3_AF_4_2,C3_AF_4_3,C3_HAC_5_1_6_O1,C3_HAC_5_1_6_O2,C3_HAC_5_1_6_O3,C3_HAC_5_1_6_O4,C3_HAC_5_1_6_O5,C3_HAC_5_1_6_O6,C3_HAC_5_1_6_O7,C3_HAC_5_1_6_O8,C3_HAC_5_1_6_O9,T_C3_FCA_6_1_1,T_C3_FCA_6_1_2,T_C3_FCA_6_1_3,T_C3_FCA_6_1_4,T_C3_FCA_6_1_5,T_C3_FCA_6_1_6,T_C3_FCA_6_1_7,T_C3_FCA_6_1_8,T_C3_FCA_6_1_9,T_C3_FCA_6_1_10,T_C3_FCA_6_1_11,T_C3_FCA_6_1_12,T_C3_FCA_6_1_13,T_C3_FCA_6_1_14,T_C3_FCA_6_1_15,T_C3_FCA_6_1_16,T_C3_FCA_6_1_17,C3_EE_7_1,T_C3_EE_7_2_1,T_C3_EE_7_2_4,T_C3_EE_7_2_5,T_C3_EE_7_2_6,T_C3_EE_7_2_10,C3_EE_7_3,C3_EE_7_4,C3_EE_7_5_O1,C3_EE_7_5_O2,C3_EE_7_5_O3,C3_EE_7_5_O4,C3_EE_7_5_O5,C3_EE_7_5_O6,C3_EE_7_5_O7,C3_EE_7_5_O8,C3_EE_7_5_O9,C3_EE_7_5_O10,C3_EE_7_5_O11,C3_EE_7_5_O12,region,HAC_5_10,HAC_5_10_AGRUP,HAC_5_11,HAC_5_11_FREQ,HAC_5_11_AGRUP,HAC_5_12,HAC_5_12_b,HAC_5_13,FCA_6_1_1,FCA_6_1_2,FCA_6_1_3,FCA_6_1_6,FCA_6_1_7,FCA_6_1_7_b,FCA_6_1_8,FCA_6_1_11,FCA_6_1_12,FCA_6_1_13,FCA_6_1_14,FCA_6_1_15,FCA_6_1_16,FCA_6_1_17,F_BCA,F_FAC,F_COP,F_GOL,F_STG_calib,antropo_sex,Edadd,F_bio,cant_E_NR
74212137,600,0, , , , , , , , , ,2 a 4 veces por semana,1 vez al d?¡a,Entre 2 y 3 veces al d?¡a,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 2 y 3 veces al d?¡a,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al d?¡a,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,1 vez al d?¡a,No, , , , , ,S?¡,No, , , , , , , , , , , , ,GBA,Algunas veces,Nunca + Algunas veces,Si,Algunas veces,Nunca + Algunas veces,Si,No,No,No,No,Si,No,1 vez al dia o mas,1 vez al dia o mas,Nunca o menos de 3 veces al mes,No,No,No,No,No,No,No,Resto,Resto,Resto,Resto,864,mujer,15,2949.94,0
74274812,2400,0,"Golosinas, dulces, galletitas dulces, amasados de pasteler?¡a",Productos de copet?¡n o snacks salados,"Bebidas azucaradas (jugos, gaseosas, infusiones con az??car,", , , , , , ,1 vez al d?¡a,2 a 4 veces por semana,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al d?¡a,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al d?¡a,5 a 6 veces por semana,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,Entre 2 y 3 veces al d?¡a,S?¡,1,0,0,1,1,S?¡,S?¡,"Bebidas con az??car (jugos en polvo o concentrados, gaseosas,","Golosinas (caramelos, alfajores, chupetines, chicles, barras", , , , , , , , , , ,GBA,Frecuentemente,Frecuentemente + Siempre,No,Nunca,Nunca + Algunas veces,Si,No,Si,Si,No,No,Si,Entre 1 y 6 veces por semana,Entre 2 y 6 veces x semana,Nunca o menos de 3 veces al mes,Si,Si,No,No,No,No,No,Resto,Resto,Al menos dos veces por semana,Al menos dos veces por semana,3338,mujer,14,22419.96,2
74332559,5640,2520,Frutas,"Bebidas azucaradas (jugos, gaseosas, infusiones con az??car,", , , , , , , ,Entre 2 y 3 veces al d?¡a,Entre 2 y 3 veces al d?¡a,1 vez al d?¡a,1 vez al d?¡a,2 a 4 veces por semana,2 a 4 veces por semana,1 vez al d?¡a,Entre 1 y 3 veces al mes,Entre 2 y 3 veces al d?¡a,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,1 vez al d?¡a,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al d?¡a,Entre 4 y 5 veces al d?¡a,No, , , , , ,S?¡,S?¡,"Bebidas con az??car (jugos en polvo o concentrados, gaseosas,","Facturas, productos de pasteler?¡a, galletitas dulces, cereal", , , , , , , , , , ,NEA,Algunas veces,Nunca + Algunas veces,Si,Algunas veces,Nunca + Algunas veces,Si,No,Si,Si,Si,No,Si,1 vez al dia o mas,1 vez al dia o mas,Nunca o menos de 3 veces al mes,No,Si,Si,No,No,Si,No,Al menos una vez al d?¡a,Al menos una vez al d?¡a,Resto,Al menos dos veces por semana,456,var??n,16, ,2
74434818,2520,0,"Golosinas, dulces, galletitas dulces, amasados de pasteler?¡a", , , , , , , , ,2 a 4 veces por semana,2 a 4 veces por semana,5 a 6 veces por semana,1 vez al d?¡a,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,1 vez al d?¡a,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez al d?¡a,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Entre 4 y 5 veces al d?¡a,Entre 4 y 5 veces al d?¡a,No, , , , , ,S?¡,S?¡,"Bebidas con az??car (jugos en polvo o concentrados, gaseosas,",S?índwich, , , , , , , , , , ,NEA,Nunca,Nunca + Algunas veces, ,Nunca,Nunca + Algunas veces,No,No,No,No,No,No,Si,1 vez al dia o mas,1 vez al dia o mas,Nunca o menos de 3 veces al mes,No,Si,No,No,No,Si,No,Al menos una vez al d?¡a,Resto,Resto,Al menos dos veces por semana,435,mujer,13,2029.09,1
74494264,1260,420,"Golosinas, dulces, galletitas dulces, amasados de pasteler?¡a", , , , , , , , ,Entre 2 y 3 veces al d?¡a,2 a 4 veces por semana,5 a 6 veces por semana,2 a 4 veces por semana,2 a 4 veces por semana,1 vez por semana,1 vez al d?¡a,Entre 1 y 3 veces al mes,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,1 vez por semana,1 vez al d?¡a,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al d?¡a,Nunca o menos de 1 vez al mes,No, , , , , ,S?¡,No, , , , , , , , , , , , ,GBA,Algunas veces,Nunca + Algunas veces,No,Nunca,Nunca + Algunas veces,Si,No,Si,Si,No,No,No,1 vez al dia o mas,1 vez al dia o mas,Nunca o menos de 3 veces al mes,No,No,Si,Si,No,Si,No,Al menos una vez al d?¡a,Al menos una vez al d?¡a,Resto,Resto,1146,var??n,15, ,0
74567366,420,420,"Golosinas, dulces, galletitas dulces, amasados de pasteler?¡a","Bebidas azucaradas (jugos, gaseosas, infusiones con az??car,", , , , , , , ,1 vez por semana,2 a 4 veces por semana,Entre 2 y 3 veces al d?¡a,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,Entre 2 y 3 veces al d?¡a,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al d?¡a,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al d?¡a,5 a 6 veces por semana,1 vez al d?¡a,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Entre 4 y 5 veces al d?¡a,6 veces o m?ís por d?¡a,S?¡,0,1,2,1,1,S?¡,S?¡,"Golosinas (caramelos, alfajores, chupetines, chicles, barras","Facturas, productos de pasteler?¡a, galletitas dulces, cereal","Agua segura (sin agregado de jugo, frutas, etc)", , , , , , , , , ,NEA,Frecuentemente,Frecuentemente + Siempre,Si,Algunas veces,Nunca + Algunas veces,Si,No,No,No,No,Si,Si,1 vez al dia o mas,1 vez al dia o mas,Nunca o menos de 3 veces al mes,Si,Si,Si,No,No,Si,Si,Al menos una vez al d?¡a,Al menos una vez al d?¡a,Al menos dos veces por semana,Al menos dos veces por semana,1596,mujer,13, ,2
74567871,840,0,"Golosinas, dulces, galletitas dulces, amasados de pasteler?¡a","L?ícteos (leche, yogurt o quesos)","Bebidas azucaradas (jugos, gaseosas, infusiones con az??car,", , , , , , ,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Entre 4 y 5 veces al d?¡a,Nunca o menos de 1 vez al mes,1 vez por semana,1 vez al d?¡a,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al d?¡a,2 a 4 veces por semana,S?¡,0,0,0,0,0,S?¡,S?¡,"Bebidas con az??car (jugos en polvo o concentrados, gaseosas,","Golosinas (caramelos, alfajores, chupetines, chicles, barras", , , , , , , , , , ,NEA,Algunas veces,Nunca + Algunas veces,Si,Algunas veces,Nunca + Algunas veces,Si,No,No,No,No,No,No,1 vez al dia o mas,1 vez al dia o mas,Nunca o menos de 3 veces al mes,No,No,No,No,No,Si,No,Al menos una vez al d?¡a,Resto,Resto,Resto,1310,mujer,13, ,2
74636313,1260,1260,"Golosinas, dulces, galletitas dulces, amasados de pasteler?¡a",Productos de copet?¡n o snacks salados, , , , , , , ,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,1 vez por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,2 a 4 veces por semana,1 vez por semana,1 vez al d?¡a,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez al d?¡a,S?¡,0,0,2,0,0,S?¡,S?¡,"Bebidas con az??car (jugos en polvo o concentrados, gaseosas,", , , , , , , , , , , ,GBA,Nunca,Nunca + Algunas veces, ,Nunca,Nunca + Algunas veces,No,Si,Si,No,No,No,No,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Entre 2 y 6 veces por semana,Si,No,No,No,No,No,No,Resto,Resto,Al menos dos veces por semana,Resto,2100,var??n,13, ,1
74651370,2100,0,"Golosinas, dulces, galletitas dulces, amasados de pasteler?¡a","Pan blanco, galletitas saladas",Productos de copet?¡n o snacks salados,"Bebidas azucaradas (jugos, gaseosas, infusiones con az??car,", , , , , ,1 vez al d?¡a,5 a 6 veces por semana,2 a 4 veces por semana,1 vez al d?¡a,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,5 a 6 veces por semana,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,5 a 6 veces por semana,1 vez al d?¡a,S?¡,1,0,1,1,1,S?¡,S?¡,"Bebidas con az??car (jugos en polvo o concentrados, gaseosas,","Golosinas (caramelos, alfajores, chupetines, chicles, barras","Facturas, productos de pasteler?¡a, galletitas dulces, cereal", , , , , , , , , ,GBA,Algunas veces,Nunca + Algunas veces,Si,Algunas veces,Nunca + Algunas veces,No,No,Si,Si,No,No,Si,Entre 1 y 6 veces por semana,Entre 2 y 6 veces x semana,Nunca o menos de 3 veces al mes,Si,Si,No,Si,No,No,No,Resto,Resto,Al menos dos veces por semana,Al menos dos veces por semana,1115,mujer,14, ,3
74658997,1260,1260, , , , , , , , , ,Entre 2 y 3 veces al d?¡a,Entre 2 y 3 veces al d?¡a,1 vez al d?¡a,1 vez al d?¡a,Entre 1 y 3 veces al mes,1 vez al d?¡a,1 vez al d?¡a,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al d?¡a,1 vez por semana,Nunca o menos de 1 vez al mes,1 vez por semana,6 veces o m?ís por d?¡a,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez al d?¡a,Entre 2 y 3 veces al d?¡a,S?¡,0,0,0,0,0,S?¡,No, , , , , , , , , , , , ,NEA,Nunca,Nunca + Algunas veces, ,Nunca,Nunca + Algunas veces,Si,No,No,Si,Si,No,Si,1 vez al dia o mas,1 vez al dia o mas,Nunca o menos de 3 veces al mes,No,No,Si,No,No,Si,No,Al menos una vez al d?¡a,Al menos una vez al d?¡a,Resto,Resto,529,var??n,17, ,0
