id,cant_colaciones_NR,come viendo pantallas
74212137,0,No
74274812,3,Si
74332559,1,Si
74434818,1,No
74494264,1,Si
74567366,2,No
74567871,2,No
74589443,0,Si
74636313,2,Si
74641935,1,No
74651370,3,Si
74658997,0,No
74694070,1,Si
74703429,0,Si
74703430,1,Si
74718079,2,No
74722892,2,No
74723163,1,No
74736364,1,No
74770685,2,No
74770686,3,No
74808979,1,Si
74808980,1,No
74826986,1,No
74869468,0,Si
74886563,2,No
74887893,3,Si
74895979,2,Si
74902195,1,Si
74917904,0,Si
74918271,0,Si
74921761,2,Si
74922220,0,Si
74922221,2,Si
74994800,2,No
74996458,1,No
74996459,1,Si
75001700,3,Si
75031969,3,Si
75068866,0,No
75080242,1,Si
75083970,1,No
75093681,2,No
75118622,1,Si
75136208,1,Si
75144921,0,No
75182948,2,Si
75191597,2,No
75204079,0,Si
75206661,1,No
75230757,3,Si
75241596,1,No
75252404,0,Si
75255250,1,No
75270606,1,No
75276646,0,Si
75276681,1,Si
75276715,1,No
75282914,1,Si
75283239,1,No
75284026,2,Si
75288282,2,Si
75288421,3,Si
75293730,1,No
75301394,2,Si
75312398,0,No
75317719,3,No
75318916,1,No
75324433,1,No
75340589,0,No
75347656,1,Si
75371291,2,Si
75379712,2,No
75384499,0,Si
75387581,2,Si
75396668,2,No
75402150,2,No
75427637,2,Si
75446430,3,No
75446859,1,Si
75460491,1,Si
75461806,0,No
75467279,1,No
75468006,0,No
75468926,3,No
75468927,1,No
75477027,1,Si
75480803,1,Si
75480913,1,Si
75484910,1,No
75485410,0,Si
75485414,1,No
75509799,1,No
75513430,2,No
75513924,1,No
75532580,0,No
75536909,2,Si
75538840,3,Si
75541374,2,Si
75551423,2,Si
75551521,0,No
75554344,1,Si
75555189,1,Si
75555938,2,No
75555942,2,Si
75557415,0,Si
75559313,0,No
75559315,0,Si
75562129,2,Si
75566258,1,Si
75569153,0,Si
75569155,0,Si
75572850,1,No
75572852,1,No
75587052,0,No
75587054,0,No
75600492,0,Si
75600496,0,Si
75602598,1,No
75618460,1,Si
75625505,2,Si
75628404,3,No
75631765,0,Si
75634524,0,Si
75644225,1,Si
75646401,0,No
75648381,0,No
75658167,0,Si
75658168,1,Si
75666206,1,Si
75681732,1,Si
75692207,2,No
75694005,2,No
75695612,2,Si
75703613,1,No
75704080,1,Si
75705100,1,No
75705366,2,Si
75708395,2,No
75712346,0,Si
75718323,1,No
75719722,0,No
75720100,0,No
75727024,2,Si
75736953,0,Si
75740766,0,No
75740768,0,No
75750861,2,No
75762348,3,No
75763978,0,Si
75778895,1,No
75817520,0,No
75818968,2,Si
75830541,3,Si
