id,edad,horas_pantallas_sem,horas_videojuegos_sem,horas_totales_pantalla_sem,horas_totales_pantalla_dia,tercil_pantalla
74212137,15,10.0,0.0,10.0,1.43,Bajo consumo
74274812,14,40.0,0.0,40.0,5.71,Consumo medio
74332559,16,94.0,42.0,136.0,19.43,Alto consumo
74434818,13,42.0,0.0,42.0,6.0,Consumo medio
74494264,15,21.0,7.0,28.0,4.0,Consumo medio
74567366,13,7.0,7.0,14.0,2.0,Bajo consumo
74567871,13,14.0,0.0,14.0,2.0,Bajo consumo
74589443,16,21.0,10.83,31.83,4.55,Consumo medio
74636313,13,21.0,21.0,42.0,6.0,Consumo medio
74641935,17,23.0,0.0,23.0,3.29,Consumo medio
74651370,14,35.0,0.0,35.0,5.0,Consumo medio
74658997,17,21.0,21.0,42.0,6.0,Consumo medio
74694070,15,29.0,14.0,43.0,6.14,Alto consumo
74703429,14,22.0,22.0,44.0,6.29,Alto consumo
74703430,16,42.0,14.0,56.0,8.0,Alto consumo
74718079,13,42.0,35.0,77.0,11.0,Alto consumo
74722892,15,35.0,0.0,35.0,5.0,Consumo medio
74723163,15,21.0,15.0,36.0,5.14,Consumo medio
74736364,16,42.0,14.0,56.0,8.0,Alto consumo
74770685,15,28.0,0.0,28.0,4.0,Consumo medio
74770686,13,28.0,24.0,52.0,7.43,Alto consumo
74808979,13,50.0,0.0,50.0,7.14,Alto consumo
74808980,13,45.0,0.0,45.0,6.43,Alto consumo
74826986,16,3.83,0.0,3.83,0.55,Bajo consumo
74869468,17,21.0,0.0,21.0,3.0,Bajo consumo
74886563,16,35.0,0.0,35.0,5.0,Consumo medio
74887893,17,63.0,0.0,63.0,9.0,Alto consumo
74895979,13,14.0,14.0,28.0,4.0,Consumo medio
74902195,14,21.0,0.0,21.0,3.0,Bajo consumo
74917904,16,21.0,10.0,31.0,4.43,Consumo medio
74918271,15,70.0,0.0,70.0,10.0,Alto consumo
74921761,13,11.0,21.0,32.0,4.57,Consumo medio
74922220,15,14.0,14.0,28.0,4.0,Consumo medio
74922221,16,42.0,42.0,84.0,12.0,Alto consumo
74994800,17,7.0,7.0,14.0,2.0,Bajo consumo
74996458,16,17.83,14.0,31.83,4.55,Consumo medio
74996459,15,14.0,0.0,14.0,2.0,Bajo consumo
75001700,17,45.0,7.0,52.0,7.43,Alto consumo
75031969,14,35.0,35.0,70.0,10.0,Alto consumo
75068866,17,35.0,0.0,35.0,5.0,Consumo medio
75080242,16,7.0,10.5,17.5,2.5,Bajo consumo
75083970,15,12.0,9.0,21.0,3.0,Bajo consumo
75093681,15,9.0,10.5,19.5,2.79,Bajo consumo
